expedition_id,peak_name,year,season,basecamp_date,highpoint_date,termination_date,termination_reason,highpoint_metres,members,member_deaths,hired_staff,hired_staff_deaths,oxygen_used,trekking_agency
EVER93401,Everest,1993,Winter,1993-11-13,1993-12-18,1993-12-27,Success (main peak),8850,10,0,20,0,TRUE,Cosmo Treks
EVER98302,Everest,1998,Autumn,1998-09-18,1998-10-17,NA,Success (main peak),8850,5,0,0,0,TRUE,Thamserku Trekking
EVER98303,Everest,1998,Autumn,1998-09-06,1998-10-15,1998-10-19,Success (main peak),8850,6,0,4,0,TRUE,Asian Trekking
EVER98304,Everest,1998,Autumn,1998-07-31,1998-09-16,1998-09-22,"Illness, AMS, exhaustion, or frostbite",8500,2,0,0,0,FALSE,Cosmo Treks
EVER98305,Everest,1998,Autumn,1998-08-24,1998-09-25,1998-10-06,"Bad conditions (deep snow, avalanching, falling ice, or rock)",8100,1,0,2,0,FALSE,Asian Trekking
EVER98306,Everest,1998,Autumn,1998-09-07,1998-10-15,1998-10-20,"Bad weather (storms, high winds)",8350,2,0,5,0,TRUE,Asian Trekking
EVER98308,Everest,1998,Autumn,1998-09-02,1998-09-24,1998-10-11,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7000,1,0,3,0,FALSE,Asian Trekking
EVER98309,Everest,1998,Autumn,1998-08-24,1998-09-25,1998-10-05,"Bad weather (storms, high winds)",8100,3,0,3,0,FALSE,Asian Trekking
EVER98301,Everest,1998,Autumn,1998-08-24,1998-09-25,1998-10-09,"Bad weather (storms, high winds)",8100,3,0,0,0,FALSE,Asian Trekking
EVER98307,Everest,1998,Autumn,1998-08-26,1998-10-11,1998-10-19,Lack (or loss) of supplies or equipment,8040,9,0,9,0,TRUE,Cosmo Treks
EVER95115,Everest,1995,Spring,1995-04-09,1995-05-13,1995-05-18,Success (main peak),8850,1,0,0,0,FALSE,Asian Trekking
EVER99101,Everest,1999,Spring,1999-04-19,1999-05-26,1999-06-01,Success (main peak),8850,6,0,2,0,TRUE,Monterosa Treks
EVER99102,Everest,1999,Spring,1999-04-06,1999-05-18,NA,"Illness, AMS, exhaustion, or frostbite",8450,1,0,1,0,TRUE,Khumbi-ila Mt. & Trekking
EVER99103,Everest,1999,Spring,1999-05-01,1999-05-29,1999-06-03,Success (main peak),8850,2,0,3,0,TRUE,Sherpa Cooperative Trekking (SCT)
EVER99104,Everest,1999,Spring,1999-04-06,1999-05-18,1999-05-26,Success (main peak),8850,7,1,0,0,TRUE,None
EVER99105,Everest,1999,Spring,1999-04-13,1999-05-18,1999-05-25,"Bad weather (storms, high winds)",8300,3,0,3,0,FALSE,Thamserku Trekking
EVER99106,Everest,1999,Spring,1999-04-23,1999-05-26,NA,"Illness, AMS, exhaustion, or frostbite",8450,2,0,0,0,FALSE,Asian Trekking
EVER99107,Everest,1999,Spring,1999-04-16,1999-05-17,1999-05-27,"Bad conditions (deep snow, avalanching, falling ice, or rock)",8500,10,0,2,0,TRUE,Asian Trekking
EVER99108,Everest,1999,Spring,1999-04-11,1999-05-26,1999-05-29,Success (main peak),8850,1,0,1,0,TRUE,Asian Trekking
EVER99109,Everest,1999,Spring,1999-04-11,1999-05-26,1999-05-29,Success (main peak),8850,1,0,1,0,TRUE,Asian Trekking
EVER99110,Everest,1999,Spring,1999-04-11,1999-05-07,1999-05-30,"Illness, AMS, exhaustion, or frostbite",8300,1,0,0,0,FALSE,Himalaya Expeditions
EVER99111,Everest,1999,Spring,1999-03-29,1999-05-17,1999-05-22,Success (main peak),8850,13,0,8,0,TRUE,Great Escapes Trekking
EVER99112,Everest,1999,Spring,1999-04-14,1999-05-05,1999-05-10,Success (main peak),8850,6,0,6,0,TRUE,Peak Promotion
EVER99113,Everest,1999,Spring,1999-04-04,1999-05-12,1999-05-16,Success (main peak),8850,5,0,4,0,TRUE,Summit Nepal Trekking/Arun Treks
EVER99114,Everest,1999,Spring,1999-03-22,1999-05-06,1999-05-31,Success (main peak),8850,4,0,9,0,TRUE,Nomad Expeditions
EVER99115,Everest,1999,Spring,1999-03-29,1999-05-05,1999-05-21,Success (main peak),8850,8,0,5,0,TRUE,Arun Treks
EVER99116,Everest,1999,Spring,NA,1999-05-28,NA,Success (main peak),8850,15,0,0,0,TRUE,None
EVER99117,Everest,1999,Spring,1999-04-11,1999-05-25,1999-05-30,Lack (or loss) of supplies or equipment,7850,1,0,1,0,TRUE,Asian Trekking
EVER99118,Everest,1999,Spring,1999-04-05,1999-05-12,1999-05-16,Success (main peak),8850,19,1,26,0,TRUE,Nepal Myths & Mountain Trails
EVER99119,Everest,1999,Spring,1999-04-04,1999-05-05,NA,Success (main peak),8850,7,0,10,0,TRUE,Above the Clouds
EVER99120,Everest,1999,Spring,1999-04-10,1999-05-05,1999-05-10,Success (main peak),8850,2,0,2,0,TRUE,Arun Treks
EVER99121,Everest,1999,Spring,1999-04-10,1999-05-12,1999-05-31,"Illness, AMS, exhaustion, or frostbite",7850,4,0,0,0,FALSE,Sea to Summit Trekking
EVER99122,Everest,1999,Spring,NA,1999-04-17,NA,"Illness, AMS, exhaustion, or frostbite",6400,1,0,1,0,FALSE,Asian Trekking
EVER99123,Everest,1999,Spring,1999-03-10,1999-05-06,1999-05-30,"Illness, AMS, exhaustion, or frostbite",8400,2,0,0,0,TRUE,Highlander Trekking
EVER99124,Everest,1999,Spring,1999-04-08,1999-05-12,1999-05-14,"Illness, AMS, exhaustion, or frostbite",8650,1,0,0,0,FALSE,Sea to Summit Trekking
EVER99125,Everest,1999,Spring,1999-04-14,1999-05-22,1999-06-04,Success (main peak),8850,9,0,4,0,TRUE,Asian Trekking
EVER99126,Everest,1999,Spring,1999-04-15,1999-05-27,1999-06-02,Success (main peak),8850,7,0,3,0,TRUE,Arun Treks
EVER99127,Everest,1999,Spring,1999-04-09,1999-05-27,1999-06-03,Success (main peak),8850,6,0,5,0,TRUE,Asian Trekking
EVER99128,Everest,1999,Spring,1999-04-03,1999-05-12,1999-05-18,Success (main peak),8850,5,0,4,0,TRUE,Asian Trekking
EVER99129,Everest,1999,Spring,1999-04-11,1999-05-13,1999-05-19,Success (main peak),8850,1,0,4,0,TRUE,Asian Trekking
EVER99130,Everest,1999,Spring,1999-04-11,1999-05-26,1999-05-29,Success (main peak),8850,8,0,3,0,TRUE,Asian Trekking
EVER99131,Everest,1999,Spring,1999-04-13,1999-05-18,1999-05-23,Success (main peak),8850,10,1,2,0,TRUE,Asian Trekking
EVER99132,Everest,1999,Spring,1999-04-05,1999-05-05,1999-05-08,Lack (or loss) of supplies or equipment,8748,1,0,3,0,TRUE,Asian Trekking
EVER99133,Everest,1999,Spring,NA,1999-05-18,NA,"Route technically too difficult, lack of experience, strength, or motivation",8100,1,0,0,0,FALSE,None
EVER99134,Everest,1999,Spring,1999-03-30,1999-05-08,1999-05-13,Success (main peak),8850,11,1,2,0,FALSE,Windhorse Trekking
EVER99135,Everest,1999,Spring,1999-04-16,1999-05-25,1999-06-02,Success (main peak),8850,4,0,0,0,TRUE,Sea to Summit Trekking
EVER99136,Everest,1999,Spring,1999-04-11,1999-05-24,1999-05-29,Lack of time,8550,1,0,1,0,TRUE,Himalayan Waves/Asian Trekking
EVER99137,Everest,1999,Spring,1999-03-30,1999-05-26,1999-05-30,Success (main peak),8850,4,0,3,0,TRUE,Nomad Expeditions
EVER99301,Everest,1999,Autumn,1999-09-07,1999-09-28,1999-10-12,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7500,9,0,7,0,FALSE,Sherpa Alpine Trekking
EVER99302,Everest,1999,Autumn,1999-09-10,1999-09-20,1999-09-26,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7350,4,0,2,0,FALSE,Thamserku Trekking
EVER99303,Everest,1999,Autumn,1999-09-17,1999-10-15,NA,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7000,2,0,0,0,FALSE,Thamserku Trekking
EVER99304,Everest,1999,Autumn,1999-09-18,1999-10-13,1999-10-31,"Bad weather (storms, high winds)",6400,15,0,0,0,FALSE,Beyond Base Camp
EVER99401,Everest,1999,Winter,1999-11-23,1999-12-07,1999-12-23,"Illness, AMS, exhaustion, or frostbite",7000,1,0,3,0,FALSE,Explore Himalaya
EVER00111,Everest,2000,Spring,2000-04-14,2000-05-23,2000-05-26,Success (main peak),8850,8,0,15,0,TRUE,Sherpa Shangri-La Trekking
EVER00156,Everest,2000,Spring,2000-04-22,2000-05-25,NA,"Bad weather (storms, high winds)",8500,7,0,3,0,FALSE,International Trekkers (Intrek Asia)
EVER00101,Everest,2000,Spring,2000-04-07,2000-05-24,2000-05-26,Success (main peak),8850,9,0,4,0,TRUE,Summit Nepal Trekking
EVER00102,Everest,2000,Spring,2000-04-12,2000-05-24,2000-05-27,Success (main peak),8850,2,0,0,0,TRUE,Cho Oyu Trekking
EVER00103,Everest,2000,Spring,2000-04-05,2000-05-21,2000-05-25,Lack (or loss) of supplies or equipment,8300,1,0,1,0,TRUE,Asian Trekking
EVER00104,Everest,2000,Spring,2000-03-30,2000-05-16,NA,Success (main peak),8850,8,0,5,0,TRUE,High Country Trekking
EVER00105,Everest,2000,Spring,2000-03-24,2000-05-22,2000-05-28,Success (main peak),8850,9,0,6,0,TRUE,Himalayan Culture Treks
EVER00106,Everest,2000,Spring,2000-04-03,2000-05-16,2000-05-26,Success (main peak),8850,9,0,5,0,TRUE,Asian Trekking
EVER00107,Everest,2000,Spring,2000-04-10,2000-05-20,2000-05-24,Success (main peak),8850,7,0,6,0,TRUE,Arun Treks
EVER00108,Everest,2000,Spring,2000-04-02,2000-05-21,2000-05-25,"Bad weather (storms, high winds)",8750,1,0,1,0,TRUE,Nomad Expeditions
EVER00109,Everest,2000,Spring,2000-04-02,2000-05-20,2000-05-26,Lack of time,8740,7,0,3,0,TRUE,Asian Trekking
EVER00110,Everest,2000,Spring,2000-04-05,2000-05-22,2000-05-27,Success (main peak),8850,1,0,1,0,TRUE,Asian Trekking
EVER00112,Everest,2000,Spring,2000-04-03,2000-05-21,2000-05-25,Success (main peak),8850,1,0,2,0,TRUE,Nomad Expeditions
EVER00113,Everest,2000,Spring,2000-04-19,2000-05-21,2000-05-24,"Illness, AMS, exhaustion, or frostbite",8826,3,0,4,0,TRUE,Sita Chuchura Treks
EVER00114,Everest,2000,Spring,2000-04-14,2000-05-24,2000-05-31,Success (main peak),8850,14,0,11,0,TRUE,Wilderness Experience
EVER00115,Everest,2000,Spring,2000-04-01,2000-05-17,NA,Success (main peak),8850,5,0,10,0,TRUE,Mountain Madness
EVER00116,Everest,2000,Spring,2000-04-14,2000-05-18,2000-05-24,Success (main peak),8850,5,0,4,0,TRUE,Asian Trekking
EVER00117,Everest,2000,Spring,2000-04-01,2000-05-21,2000-05-25,Success (main peak),8850,7,0,12,0,TRUE,Asian Trekking
EVER00118,Everest,2000,Spring,2000-04-06,2000-05-17,NA,Success (main peak),8850,5,0,6,0,TRUE,Mountain Madness
EVER00119,Everest,2000,Spring,2000-04-01,2000-05-22,2000-05-28,Success (main peak),8850,11,0,10,0,TRUE,Great Escapes Trekking
EVER00120,Everest,2000,Spring,2000-04-07,2000-05-26,2000-05-27,Success (main peak),8850,17,0,9,0,TRUE,Himalayan Guides
EVER00122,Everest,2000,Spring,2000-04-03,2000-05-21,2000-05-25,"Bad weather (storms, high winds)",8300,1,0,1,0,TRUE,Nomad Expeditions
EVER00124,Everest,2000,Spring,2000-04-01,2000-05-21,2000-05-25,"Bad weather (storms, high winds)",8750,3,0,5,0,TRUE,Nomad Expeditions
EVER00125,Everest,2000,Spring,2000-04-05,2000-05-21,2000-05-25,"Route technically too difficult, lack of experience, strength, or motivation",8100,1,0,1,0,FALSE,Asian Trekking
EVER00126,Everest,2000,Spring,2000-04-11,2000-05-15,2000-05-19,Lack (or loss) of supplies or equipment,8750,3,0,3,0,TRUE,Wilderness Experience
EVER00127,Everest,2000,Spring,2000-04-09,2000-05-20,2000-05-22,"Illness, AMS, exhaustion, or frostbite",7285,1,0,1,0,TRUE,Asian Trekking
EVER00128,Everest,2000,Spring,2000-04-15,2000-05-17,2000-05-25,Success (main peak),8850,18,0,7,0,TRUE,Rolwaling Treks
EVER00129,Everest,2000,Spring,2000-04-17,2000-05-17,2000-05-25,Success (main peak),8850,6,0,2,0,TRUE,Cosmo Treks
EVER00130,Everest,2000,Spring,2000-04-13,2000-05-19,2000-05-27,Success (main peak),8850,1,0,2,0,FALSE,Asian Trekking
EVER00121,Everest,2000,Spring,2000-04-05,2000-05-16,2000-05-21,Success (main peak),8850,7,0,4,0,TRUE,Beyond Base Camp
EVER00123,Everest,2000,Spring,2000-04-05,2000-05-22,2000-05-27,Success (main peak),8850,1,0,1,0,TRUE,Asian Trekking
EVER00133,Everest,2000,Spring,2000-04-08,2000-05-21,2000-06-04,"Bad conditions (deep snow, avalanching, falling ice, or rock)",8300,12,0,6,0,TRUE,Asian Trekking
EVER00134,Everest,2000,Spring,2000-04-11,2000-05-28,2000-06-02,"Bad weather (storms, high winds)",8100,5,0,0,0,FALSE,Asian Trekking
EVER00135,Everest,2000,Spring,2000-04-14,2000-05-17,2000-05-25,Success (main peak),8850,9,0,7,0,TRUE,Rolwaling Treks
EVER00136,Everest,2000,Spring,2000-04-10,2000-05-28,2000-06-04,Success (main peak),8850,11,0,3,0,TRUE,Asian Trekking
EVER00137,Everest,2000,Spring,2000-04-12,2000-05-20,2000-05-29,"Bad weather (storms, high winds)",8650,2,0,0,0,FALSE,Thamserku Trekking
EVER00138,Everest,2000,Spring,2000-04-01,2000-05-18,2000-05-29,Success (main peak),8850,12,0,3,0,TRUE,Himalaya Expeditions
EVER00139,Everest,2000,Spring,2000-04-23,2000-05-21,2000-05-25,"Bad weather (storms, high winds)",8300,1,0,5,0,TRUE,Rolwaling Treks
EVER00140,Everest,2000,Spring,2000-04-08,2000-05-17,2000-05-31,Success (main peak),8850,16,0,4,0,TRUE,Asian Trekking
EVER00141,Everest,2000,Spring,2000-04-22,2000-05-19,2000-05-25,Other,8300,2,0,22,0,TRUE,Asian Trekking
EVER00142,Everest,2000,Spring,2000-04-06,2000-05-15,2000-05-24,Success (main peak),8850,13,0,0,0,TRUE,Windhorse Trekking
EVER00143,Everest,2000,Spring,2000-04-15,2000-05-21,NA,Success (main peak),8850,8,1,4,0,TRUE,Asian Trekking
EVER00144,Everest,2000,Spring,NA,2000-05-14,NA,"Route technically too difficult, lack of experience, strength, or motivation",8500,1,0,0,0,FALSE,None
EVER00145,Everest,2000,Spring,2000-04-08,2000-05-11,2000-05-30,Other,7900,11,0,0,0,FALSE,None
EVER00146,Everest,2000,Spring,2000-04-18,2000-05-20,2000-05-25,"Bad weather (storms, high winds)",8600,2,0,1,0,TRUE,Asian Trekking
EVER00147,Everest,2000,Spring,2000-04-01,2000-05-20,2000-05-26,Accident (death or serious injury),8500,2,1,0,0,FALSE,Asian Trekking
EVER00148,Everest,2000,Spring,2000-04-19,2000-05-20,2000-05-29,"Bad weather (storms, high winds)",8700,6,0,2,0,FALSE,Thamserku Trekking
EVER00149,Everest,2000,Spring,2000-04-19,2000-05-20,2000-05-26,"Bad weather (storms, high winds)",8600,9,0,2,0,TRUE,Asian Trekking
EVER00150,Everest,2000,Spring,2000-05-10,2000-05-16,2000-05-27,"Bad weather (storms, high winds)",7500,2,0,0,0,FALSE,Asian Trekking
EVER00151,Everest,2000,Spring,2000-05-05,2000-05-26,2000-05-27,"Bad weather (storms, high winds)",7500,1,0,1,0,FALSE,Asian Trekking
EVER00152,Everest,2000,Spring,2000-04-11,2000-05-20,2000-05-25,"Bad weather (storms, high winds)",8650,5,0,2,0,FALSE,Asian Trekking
EVER00153,Everest,2000,Spring,2000-04-16,2000-05-20,2000-05-29,"Bad weather (storms, high winds)",8600,2,0,1,0,FALSE,Thamserku Trekking
EVER00154,Everest,2000,Spring,2000-04-13,2000-05-15,2000-05-28,"Bad weather (storms, high winds)",8650,7,0,2,0,FALSE,Sea to Summit Trekking
EVER00155,Everest,2000,Spring,2000-04-17,2000-05-27,2000-05-28,Success (main peak),8850,7,0,5,0,TRUE,Thamserku Trekking
EVER00131,Everest,2000,Spring,2000-04-12,2000-05-20,2000-05-31,"Bad weather (storms, high winds)",8650,15,0,4,0,FALSE,Thamserku Trekking
EVER00132,Everest,2000,Spring,2000-04-20,2000-05-17,2000-05-28,Success (main peak),8850,14,0,4,0,TRUE,Iceland Trekking
EVER00301,Everest,2000,Autumn,2000-09-19,2000-10-07,2000-10-11,Success (main peak),8850,8,0,4,0,TRUE,Wilderness Experience
EVER00302,Everest,2000,Autumn,2000-09-03,2000-10-04,2000-10-08,Success (main peak),8850,14,0,8,0,TRUE,Windhorse Trekking
EVER00303,Everest,2000,Autumn,2000-08-28,2000-10-04,2000-10-10,Success (main peak),8850,8,0,8,0,TRUE,Asian Trekking
EVER00304,Everest,2000,Autumn,2000-09-03,2000-10-05,2000-10-11,"Bad weather (storms, high winds)",8500,14,0,4,0,TRUE,Explore Himalaya
EVER01151,Everest,2001,Spring,2001-03-31,2001-05-21,2001-05-27,"Illness, AMS, exhaustion, or frostbite",7950,4,0,1,0,FALSE,Nepal Sanctuary Treks
EVER01101,Everest,2001,Spring,2001-04-05,2001-05-23,2001-05-26,Success (main peak),8850,3,0,4,1,TRUE,Nomad Expeditions
EVER01102,Everest,2001,Spring,2001-04-09,2001-05-24,2001-05-27,Success (main peak),8850,3,0,7,0,TRUE,Mountain Madness
EVER01103,Everest,2001,Spring,2001-04-06,2001-05-23,2001-05-27,Success (main peak),8850,2,0,1,0,TRUE,Great Escapes Trekking
EVER01104,Everest,2001,Spring,2001-04-05,2001-05-23,2001-05-26,"Bad weather (storms, high winds)",8500,1,0,1,0,TRUE,Asian Trekking
EVER01105,Everest,2001,Spring,2001-04-04,2001-05-24,2001-05-28,Success (main peak),8850,8,0,12,0,TRUE,Great Escapes Trekking
EVER01106,Everest,2001,Spring,2001-04-07,2001-05-23,2001-05-28,Success (main peak),8850,8,0,5,0,TRUE,Ang Nuru Sherpa
EVER01107,Everest,2001,Spring,2001-04-04,2001-05-25,2001-05-28,Success (main peak),8850,5,0,8,0,TRUE,Great Escapes Trekking
EVER01108,Everest,2001,Spring,2001-04-07,2001-05-23,2001-05-26,Success (main peak),8850,7,0,6,0,TRUE,High Country Trekking
EVER01109,Everest,2001,Spring,2001-04-04,2001-05-25,2001-05-31,Success (main peak),8850,17,0,15,0,TRUE,Wilderness Experience
EVER01110,Everest,2001,Spring,2001-04-01,2001-05-23,2001-05-26,Success (main peak),8850,5,0,12,0,TRUE,Arun Treks
EVER01111,Everest,2001,Spring,2001-04-12,2001-04-18,2001-04-24,"Illness, AMS, exhaustion, or frostbite",7300,2,0,3,0,TRUE,Asian Trekking
EVER01112,Everest,2001,Spring,2001-04-05,2001-05-23,NA,Accident (death or serious injury),8500,1,1,1,0,TRUE,Asian Trekking
EVER01113,Everest,2001,Spring,2001-04-06,2001-05-22,NA,"Bad conditions (deep snow, avalanching, falling ice, or rock)",8750,7,0,4,0,TRUE,Cho Oyu Trekking
EVER01114,Everest,2001,Spring,2001-04-09,2001-05-10,2001-05-17,"Bad weather (storms, high winds)",7360,5,0,3,0,TRUE,Asian Trekking
EVER01115,Everest,2001,Spring,2001-04-16,2001-05-23,2001-05-28,Lack (or loss) of supplies or equipment,7100,1,0,2,0,FALSE,Himalaya Expeditions
EVER01116,Everest,2001,Spring,2001-04-29,2001-05-22,2001-05-29,Success (main peak),8850,5,0,2,0,TRUE,Asian Trekking
EVER01117,Everest,2001,Spring,2001-04-05,2001-05-23,2001-05-26,Success (main peak),8850,1,0,1,0,TRUE,Asian Trekking
EVER01118,Everest,2001,Spring,2001-04-09,2001-05-23,2001-05-27,Success (main peak),8850,3,0,3,0,TRUE,Asian Trekking
EVER01119,Everest,2001,Spring,2001-04-05,2001-05-22,2001-05-26,Success (main peak),8850,9,0,5,0,TRUE,Sherpa Alpine Trekking
EVER01120,Everest,2001,Spring,2001-04-10,2001-05-23,2001-05-25,Success (main peak),8850,6,0,4,0,TRUE,Cho Oyu Trekking
EVER01121,Everest,2001,Spring,2001-04-03,2001-05-23,2001-05-29,Success (main peak),8850,20,0,13,0,TRUE,Himalaya Expeditions
EVER01122,Everest,2001,Spring,2001-04-09,2001-05-22,2001-05-25,Success (main peak),8850,12,0,3,0,TRUE,Asian Trekking
EVER01123,Everest,2001,Spring,2001-04-18,2001-05-22,2001-05-25,Success (main peak),8850,7,0,1,0,TRUE,Thamserku Trekking
EVER01124,Everest,2001,Spring,2001-04-05,2001-05-23,2001-05-26,Other,8300,4,0,0,0,TRUE,Asian Trekking
EVER01125,Everest,2001,Spring,NA,NA,NA,Did not attempt climb,7000,12,0,0,0,FALSE,Great Escapes Trekking
EVER01126,Everest,2001,Spring,2001-04-12,2001-05-23,2001-05-27,Success (main peak),8850,2,1,1,0,TRUE,Arun Treks
EVER01127,Everest,2001,Spring,2001-05-08,2001-05-24,2001-06-01,Lack (or loss) of supplies or equipment,7800,5,0,0,0,FALSE,Asian Trekking
EVER01128,Everest,2001,Spring,2001-03-20,2001-05-25,2001-05-28,Lack (or loss) of supplies or equipment,8700,11,0,19,0,TRUE,Great Escapes Trekking
EVER01129,Everest,2001,Spring,2001-03-30,2001-05-19,2001-05-23,Success (main peak),8850,2,0,4,0,TRUE,Great Escapes Trekking
EVER01130,Everest,2001,Spring,2001-04-05,2001-05-25,2001-06-03,Success (main peak),8850,14,0,4,0,TRUE,Wilderness Experience
EVER01131,Everest,2001,Spring,2001-04-09,2001-05-23,2001-05-31,Success (main peak),8850,25,0,8,0,TRUE,Mountain Experience
EVER01132,Everest,2001,Spring,2001-04-24,2001-05-25,2001-05-27,"Illness, AMS, exhaustion, or frostbite",8500,2,0,0,0,FALSE,Asian Trekking
EVER01133,Everest,2001,Spring,2001-04-09,2001-05-23,2001-05-27,Success (main peak),8850,1,0,1,0,TRUE,Thamserku Trekking
EVER01134,Everest,2001,Spring,2001-04-18,2001-05-22,2001-06-09,Success (main peak),8850,13,0,3,0,TRUE,Asian Trekking
EVER01135,Everest,2001,Spring,2001-04-10,2001-05-22,2001-05-29,Success (main peak),8850,11,0,12,0,TRUE,Mandala Trekking
EVER01136,Everest,2001,Spring,2001-04-14,2001-05-23,2001-05-28,Success (main peak),8850,15,0,4,0,TRUE,Iceland Trekking
EVER01137,Everest,2001,Spring,2001-04-09,2001-05-24,2001-05-27,Success (main peak),8850,3,0,2,0,TRUE,Thamserku Trekking
EVER01138,Everest,2001,Spring,2001-04-05,2001-05-05,2001-05-14,"Bad weather (storms, high winds)",8300,5,0,1,0,FALSE,Asian Trekking
EVER01139,Everest,2001,Spring,2001-04-13,2001-05-22,2001-05-28,"Bad weather (storms, high winds)",8300,2,0,0,0,FALSE,Asian Trekking
EVER01140,Everest,2001,Spring,2001-04-24,2001-05-12,2001-05-23,"Bad conditions (deep snow, avalanching, falling ice, or rock)",7300,2,0,2,0,FALSE,Asian Trekking
EVER01141,Everest,2001,Spring,2001-04-09,2001-05-23,2001-05-27,Success (main peak),8850,3,0,0,0,TRUE,Thamserku Trekking
EVER01142,Everest,2001,Spring,2001-04-15,2001-05-22,2001-05-25,Success (main peak),8850,2,0,1,0,TRUE,Asian Trekking
EVER01144,Everest,2001,Spring,2001-03-30,2001-05-20,2001-05-28,"Illness, AMS, exhaustion, or frostbite",7800,5,0,2,0,FALSE,Great Escapes Trekking
EVER01145,Everest,2001,Spring,2001-04-22,2001-05-23,2001-05-30,Success (main peak),8850,6,0,3,0,TRUE,Asian Trekking
EVER01146,Everest,2001,Spring,2001-04-14,2001-05-16,2001-05-22,"Bad weather (storms, high winds)",8500,5,0,30,0,TRUE,Asian Trekking
EVER01147,Everest,2001,Spring,2001-04-07,2001-05-22,2001-05-28,Success (main peak),8850,10,0,2,0,TRUE,Ang Nuru Sherpa/Asian Trekking
EVER01148,Everest,2001,Spring,2001-04-05,2001-05-22,2001-05-30,Success (main peak),8850,13,1,0,0,TRUE,Windhorse Trekking
EVER01149,Everest,2001,Spring,2001-04-12,2001-05-20,2001-05-26,"Bad weather (storms, high winds)",6900,12,0,5,0,FALSE,Asian Trekking
EVER01150,Everest,2001,Spring,2001-05-09,2001-05-22,2001-05-28,Success (main peak),8850,14,0,7,0,TRUE,Asian Trekking (Dawa)
EVER01143,Everest,2001,Spring,2001-04-14,2001-05-23,2001-05-28,Success (main peak),8850,2,0,0,0,TRUE,Asian Trekking
EVER01301,Everest,2001,Autumn,2001-08-20,2001-09-25,2001-10-14,"Bad weather (storms, high winds)",7800,7,0,2,0,FALSE,Nepal Village Trekking
EVER01302,Everest,2001,Autumn,2001-09-11,2001-10-15,2001-10-31,"Bad conditions (deep snow, avalanching, falling ice, or rock)",6350,8,0,0,0,FALSE,Asian Trekking
EVER01303,Everest,2001,Autumn,2001-09-04,2001-10-16,2001-10-24,Accident (death or serious injury),7800,13,1,0,0,FALSE,None
EVER02101,Everest,2002,Spring,2002-04-08,2002-05-17,NA,Success (main peak),8850,1,0,3,0,TRUE,Rolwaling Treks
EVER02102,Everest,2002,Spring,2002-04-12,2002-05-17,2002-05-25,Success (main peak),8850,10,0,9,0,TRUE,Rolwaling Treks
EVER02103,Everest,2002,Spring,2002-04-13,2002-05-17,NA,"Route technically too difficult, lack of experience, strength, or motivation",8500,7,1,2,0,TRUE,Asian Trekking
EVER02104,Everest,2002,Spring,2002-04-16,2002-05-18,2002-05-29,Success (main peak),8850,10,0,4,0,TRUE,Cosmo Treks
EVER02106,Everest,2002,Spring,2002-04-10,2002-05-17,2002-05-20,Success (main peak),8850,2,0,3,0,FALSE,Thamserku Trekking
EVER02107,Everest,2002,Spring,2002-04-10,2002-05-16,2002-05-26,Success (main peak),8850,6,0,0,0,TRUE,Asian Trekking
EVER02108,Everest,2002,Spring,2002-04-03,2002-05-17,2002-05-21,Success (main peak),8850,7,0,6,0,TRUE,Thamserku Trekking
EVER02110,Everest,2002,Spring,2002-05-13,2002-05-24,2002-05-27,Success (main peak),8850,2,0,1,0,TRUE,Asian Trekking
EVER02111,Everest,2002,Spring,2002-04-11,2002-05-30,2002-06-03,Success (main peak),8850,2,0,0,0,FALSE,Asian Trekking
EVER02112,Everest,2002,Spring,2002-04-08,2002-05-17,2002-05-25,Success (main peak),8850,5,0,2,0,TRUE,Thamserku Trekking
EVER02113,Everest,2002,Spring,2002-04-11,2002-05-17,2002-05-20,Success (main peak),8850,1,0,1,0,TRUE,Asian Trekking
EVER02114,Everest,2002,Spring,2002-04-11,2002-05-17,2002-05-26,Success (main peak),8850,2,0,1,0,TRUE,Asian Trekking
EVER02115,Everest,2002,Spring,2002-04-08,2002-05-17,2002-05-31,Success (main peak),8850,7,0,4,0,TRUE,Mountain Experience
EVER02116,Everest,2002,Spring,2002-04-13,2002-05-16,NA,Success (main peak),8850,16,0,11,0,TRUE,Iceland Trekking
EVER02117,Everest,2002,Spring,2002-04-11,2002-05-17,NA,Success (main peak),8850,1,0,1,0,TRUE,Asian Trekking
EVER02118,Everest,2002,Spring,2002-04-14,2002-05-15,2002-05-19,"Illness, AMS, exhaustion, or frostbite",7600,1,0,2,0,FALSE,Thamserku Trekking
EVER02119,Everest,2002,Spring,2002-04-05,2002-05-16,2002-05-26,Success (main peak),8850,11,0,4,0,TRUE,Asian Trekking
EVER02120,Everest,2002,Spring,2002-04-20,2002-05-16,2002-05-24,"Bad weather (storms, high winds)",8650,2,0,0,0,FALSE,Asian Trekking
EVER02121,Everest,2002,Spring,2002-04-15,2002-05-16,2002-05-27,"Bad weather (storms, high winds)",8450,6,0,0,0,FALSE,Iceland Trekking
EVER02122,Everest,2002,Spring,2002-04-05,2002-05-17,2002-05-24,"Illness, AMS, exhaustion, or frostbite",8600,2,0,3,0,FALSE,High Country Trekking
